FamilyName1,FamilyName2,CommonName,AlsoKnownAs,ScientificName,MinSize,MaxSize,AdditionalSizeInfo,PossessionLimit,AdditionalPossessionInfo,SpeciesLimit,SpeciesName,GroupLimit,GroupName,ClosedSeasonDate,AdditionalClosedSeasonInfo,MisIdentified,,Description,AverageGrowth,MaximumGrowth,Distribution,AdditionalInformation,Image1,Caption1,Image2,Caption2,Image3,Caption3
Emperors and sweetlips,N/A,Lancer,Threadfin emperor,"Lethrinus genivittatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
the only emperor where the second spine of the dorsal fin is longer than the first, often forming a fine filament
dark squarish blotch above the pectoral fin",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/lancer.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Long-nosed emperor,N/A,"Lethrinus olivaceus
",38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
long pointed snout with wavy lines that break up into spots radiating from the eyes across snout and cheeks
top lip is sometimes red
dark blotches on body are more distinct when initially caught",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/long-nosed-emperor.jpg,N/A,http://app.fisheries.qld.gov.au/images/long-nosed-emperor-2.jpg,N/A,N/A,N/A
Emperors and sweetlips,N/A,Mozambique large-eye bream,N/A,"Wattsia mossambica
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
silver grey body with yellow tinge, yellow lips and fins, and dark patch on the base of the pectoral fins
faint brown spotting may present on the dorsal, anal and caudal fins",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/mozambique-large-eye-bream.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Orange-striped emperor,N/A,"Lethrinus obsoletus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
single, distinct large yellow stripe along lower half of the body
faint stripes may be visible above and below this main stripe",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/orange-striped-emperor.jpg,N/A,http://app.fisheries.qld.gov.au/images/orange-striped-emperor-young-adult.jpg,Young adult,N/A,N/A
Emperors and sweetlips,N/A,Pink-eared emperor,N/A,"Lethrinus lentjan
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
bright red spot and edge of the gill cover look like an ear
pale spots on scales and red patch on base of pectoral fins
inside mouth is bright red",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/pink-eared-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Red-eared emperor,N/A,"Lethrinus rubrioperculatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
juveniles and young adults have broad dark red bands which converge at a point beyond the top of the spiny dorsal fin
bars fade with age and fish become pink red all over
dark edges with fine white margin may still be visible on dorsal, anal and top and bottom of tail fins
each scale carries a white dot",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/red-eared-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Redthroat emperor,Sweetlip emperor,"Lethrinus miniatus
",38,N/A,N/A,8,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
bright red to orange colouration on spiny dorsal fin, base of pectoral fin, around eye and inside mouth",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/redthroat-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Robinson's sea bream,N/A,"Gymnocranius grandoculis
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
wavy blue lines across snout and cheek",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/robinsons-sea-bream.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Spangled emperor,N/A," Lethrinus nebulosus
 ",45,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,Grass emperor (sweetlip),,"large eyes for feeding at night
distinct scales and strong spines on their fins
pale blue spots are 'spangled' over the upper body
blue lines radiate from the eyes over the snout
tops of pectoral fins are blue",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/spangled-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Spotted sea bream,N/A,"Gymnocranius sp.
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
silver with longitudinal rows of black spots on the back
blackish area above the eyes",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Thumbprint emperor,N/A,"Lethrinus harak
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
large oval like black blotch surrounded with yellow in the middle of its body",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/thumbprint-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Variegated emperor,N/A,"Lethrinus variegatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
small emperor with large, irregular blotches covering the body
faint banding on tail fin helps to distinguish it from other species
similar to red eared emperor without the red spot on gill cover",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/variegated-emperor.jpg,N/A,http://app.fisheries.qld.gov.au/images/variegated-emperor-young-adult.jpg,N/A,N/A,N/A
Emperors and sweetlips,N/A,Yellow-spotted emperor,N/A,"Lethrinus erythracanthus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
golden spots scattered over the body
smaller adults have yellow orange spots on cheeks
distinctive bright orange tail
blue spots on anal and dorsal fins",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellow-spotted-emperor.jpg,N/A,http://app.fisheries.qld.gov.au/images/yellow-spotted-emperor-juvenile.jpg,Juvenile,http://app.fisheries.qld.gov.au/images/yellow-spotted-emperor-2.jpg,N/A
Emperors and sweetlips,N/A,Yellow-striped emperor,N/A,"Lethrinus ornatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
large yellow orange stripes along body
bright red edges on cheek cleft and gill cover",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellow-striped-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Yellow-tailed emperor,N/A,"Lethrinus atkinsoni
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
base of tail and tail fin is yellow, sometimes yellow orange
top lip is red",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellow-tailed-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Yellowlip emperor,N/A,"Lethrinus xanthochilus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"large eyes for feeding at night
distinct scales and strong spines on their fins
bright red spot on base of pectoral fin
yellow upper lip",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellowlip-emperor.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Blackfin slatey,N/A,"Diagramma melanacrum
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"yellow dorsal fin and top part of the tail fin
brown spots cover the upper body, tail fin and dorsal fin
wavy lines on the face between the eyes and upper lip
anal, pelvic and lower tail fins are black 
small mouth with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blackfin-slatey.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Celebes sweetlips,N/A,"Plectorhinchus celebicus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"horizontal yellow lines extend from the face to the tail
all fins are bright yellow without spots
small mouths with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/celebes-sweetlips.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Harlequin sweetlips,N/A,"Plectorhinchus chaetodontoides
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"young adults are entirely covered with dark brown to black spots
spots become more numerous with age and disappear from the belly leaving it silvery white
small mouths with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/harlequin-sweetlips.jpg,N/A,http://app.fisheries.qld.gov.au/images/harlequin-sweetlips-juvenile.jpg,Juvenile,N/A,N/A
Emperors and sweetlips,N/A,Lesson's sweetlips,N/A,"Plectorhinchus lessonii
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"broad black horizontal bands run along the body above the pectoral fins
face and gill cover have disjointed black bars
yellow dorsal, anal and tail fins have black spots
the face is flushed with yellow
black band on the pectoral fins
small mouths with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/lessons-sweetlips.jpg,N/A,http://app.fisheries.qld.gov.au/images/lessons-sweetlips-juvenile.jpg,Juvenile,N/A,N/A
Emperors and sweetlips,N/A,Painted sweetlips,Slatey bream,"Diagramma pictum subsp. labiosum
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"live fish are flushed with bronze that fades to slate grey with death
may have irregular dark spots sparsely scattered over the upper body
small mouths with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/painted-sweetlips.jpg,N/A,http://app.fisheries.qld.gov.au/images/painted-sweetlips-underwater.jpg,N/A,N/A,N/A
Emperors and sweetlips,N/A,Two-striped sweetlips,N/A,"Plectorhinchus albovittatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"adults are mostly grey, with two broad dark bands over the body near the pectoral and soft dorsal fins
the pelvic and anal fins, and the tips of the soft dorsal, pectoral and tail fins are black
small mouths with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/two-striped-sweetlips.jpg,N/A,N/A,N/A,N/A,N/A
Emperors and sweetlips,N/A,Yellowbanded sweetlips,N/A,"Plectorhinchus lineatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"adults have black stripes running obliquely along the upper body from head to tail
lines break into spots in the centre of the body
fins and lips are yellow
spots on the dorsal, anal and tail fins, and an orange red blotch on the base of the pectoral fins
small mouths with large fleshy lips
usually undergo dramatic colour change as they grow
adults often bear little resemblance to their young
typically active at night
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellowbanded-sweetlips.jpg,N/A,http://app.fisheries.qld.gov.au/images/yellowbanded-sweetlips-juvenile.jpg,Juvenile,N/A,N/A
Flathead,N/A,Dusky flathead,Mud flathead,Platycephalus fuscus,40,75,N/A,5,not included in the combined possession limit for other flathead species,N/A,N/A,N/A,N/A,N/A,N/A,"Bartailed flathead
Northern sand flathead",,"top of body varies from dark greenish brown, to pale fawn, to mid brown; has blotchy appearance
can change body colour to match substrate
under surface of head is pale pink
pectoral fins are densely spotted with brown
tail has a distinguishing large dark blotch",50,130,"Cairns and further south
estuaries and coastal bays
found on sand, mud, gravel and seagrasses
",N/A,http://app.fisheries.qld.gov.au/images/dusky-flathead.jpg,N/A,http://app.fisheries.qld.gov.au/images/dusky-flathead-tail.jpg,N/A,N/A,N/A
Flathead,N/A,Bartailed flathead,N/A,"Platycephalus indicus
",30,N/A,N/A,N/A,N/A,5,combined limit for all flathead species (except dusky flathead),N/A,N/A,N/A,N/A,"Yellowtailed flathead
Dusky flathead
Sand flathead",,"the top of the head and body is whitish and covered with small brown flecks; may have several indistinct dark bands across back
dorsal, pectoral and pelvic fins have small brown spots on rays
the caudal fin has two or three horizontal dark bars, a prominent yellow blotch near the middle of the fin, whitish areas in upper lobe and along the lower margin",35,50,"mud and sand along the length of the Queensland coast
shallow coastal waters and estuaries",N/A,http://app.fisheries.qld.gov.au/images/bar-tailed-flathead.jpg,N/A,http://app.fisheries.qld.gov.au/images/bar-tailed-flathead-tail.jpg,N/A,N/A,N/A
Flathead,N/A,Northern sand flathead,Sand flathead,"Platycephalus arenarius
",30,N/A,N/A,N/A,N/A,5,combined limit for all flathead species (except dusky flathead),N/A,N/A,N/A,N/A,"Dusky flathead
Bartailed flathead
Yellowtailed flathead",,"head and body is whitish with many small brown blotches
dorsal fins have small brown spots on rays
pectoral and pelvic fins have small brown spots forming bands
anal fin is whitish
caudal fin is white, with five or six dark horizontal streaks which become narrower at the top",35,46,"along the Queensland coast
sandy beaches to a depth of 55 m
",N/A,http://app.fisheries.qld.gov.au/images/northern-sand-flathead.jpg,N/A,http://app.fisheries.qld.gov.au/images/northern-sand-flathead-tail.jpg,N/A,N/A,N/A
Flathead,N/A,Yellowtailed flathead,N/A,"Platycephalus endrachtensis
",30,N/A,N/A,N/A,N/A,5,combined limit for all flathead species (except dusky flathead),N/A,N/A,N/A,N/A,Bartailed flathead,,"head and body are whitish and covered with small brown flecks; may have several indistinct dark bands across back
dorsal, pectoral and pelvic fins have small brown spots on rays
caudal fin is whitish, with three or four horizontal dark bars and a prominent yellow blotch along upper margin",30,40,"along the Queensland coast to Brisbane
shallow coastal waters and estuaries
found on mud and sand",N/A,http://app.fisheries.qld.gov.au/images/yellowtailed-flathead.jpg,N/A,http://app.fisheries.qld.gov.au/images/yellowtailed-flathead-tail.jpg,N/A,N/A,N/A
Fusiliers,N/A,Banana fusilier,N/A,"Pterocaesio pisang
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"variable body colouration
tail fin tips tend to be reddish rather than solid black
yellow face
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/banana-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,Dark banded fusilier,N/A,"Pterocaesio tile
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"belly is flushed with pink
dark band runs along lateral line
body below lateral line is light in colour
scales on back have a black border
tail fin has long black stripes without dark tips
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/dark-banded-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,Double-line fusilier,N/A,"Pterocaesio digramma
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"two bright yellow lines run along the body   one starting from nose tip just above the eye to the tail fin and the other along the back
dark tail fin tips
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/double-line-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,Goldband fusilier,N/A,"Pterocaesio chrysozona
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"single broad yellow strip from, and running through the eyes to tail
black tail fin tips
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/goldband-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,Lunar fusilier,N/A,"Caesio lunaris
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"mainly blue belly
black tail fin tips
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/lunar-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,One-stripe fusilier,N/A,"Pterocaesio tessellata
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"similar to the goldband fusilier but has a pink belly and a thinner single yellow stripe along side
black tail fin tips are smaller
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/one-stripe-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,Three-stripe fusilier,N/A,"Pterocaesio trilineata
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"three lines extending from head to tail can be blue or pale blue
dark tail fin tips
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/three-stripe-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Fusiliers,N/A,Yellow and blue back fusilier,N/A,"Caesio teres
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"blue body
bright yellow tail fin and base
black spot on base of pectoral fins
small mouth with tiny teeth and a protruding upper jaw when opened
deeply forked tail fins and streamlined body for active swimming",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellow-and-blue-back-fusilier.jpg,N/A,N/A,N/A,N/A,N/A
Garfish,N/A,River garfish,"Needle gar
Splinter gar","Hyporhamphus regularis
",N/A,N/A,N/A,N/A,N/A,50,combined limit for all garfish species,N/A,N/A,N/A,N/A,Three-by-two garfish,,"green back, silver green belly
three dark narrow stripes running the length of the upper sides; broad silvery band on mid flanks toward the lateral line
beak is tipped in dull orange red",15-20,30,"Gladstone and further south
shallow estuaries, bays and lakes
",N/A,http://app.fisheries.qld.gov.au/images/river-garfish.jpg,N/A,N/A,N/A,N/A,N/A
Garfish,N/A,Snubnose garfish (freshwater and tidal),"Snubbie
Short-bill garfish","Arrhamphus sclerolepis
",N/A,N/A,N/A,N/A,N/A,50,combined limit for all garfish species,N/A,N/A,N/A,N/A,Other garfish,,"sea green back, silvery belly, sometimes flushed with pink
three fine black lines run from back of head to commencement of dorsal fin
beak has a fleshy bright orange tip",Oct-15,22,"along the Queensland coast
extends into freshwater
",N/A,http://app.fisheries.qld.gov.au/images/snubnosed-garfish.jpg,N/A,N/A,N/A,N/A,N/A
Garfish,N/A,Three-by-two garfish,Flat-sided garfish,"Hemiramphus robustus
",N/A,N/A,N/A,N/A,N/A,50,combined limit for all garfish species,N/A,N/A,N/A,N/A,N/A,,"silver back, pale belly
silvery lateral band with a high blue green border along sides; prominent black spot below (on each side near the beginning of the dorsal fin)
upper part of caudal fin is yellow, with lower part bright blue",15-20,32,"along the Queensland coast
more turbid inshore waters
",N/A,http://app.fisheries.qld.gov.au/images/three-by-two-garfish.jpg,N/A,N/A,N/A,N/A,N/A
Glassfish,N/A,Aggassiz's glassfish,Perchlet,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/agassizs-glassfish.jpg,N/A,N/A,N/A,N/A,N/A
Glassfish,N/A,Elongate glassfish,Yellowfin perchlet,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glassfish,N/A,Flagtail glassfish,Flagtail perchlet,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glassfish,N/A,Macleay's glassfish,Reticulated perchlet,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glassfish,N/A,Mueller's glassfish,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glassfish,N/A,Sailfin glassfish,Sailfin perchlet,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Celebes flathead goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Concave flathead goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Desert goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Golden flathead goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Golden goby,Dwarf goby,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Mulgrave goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Roman nose goby,N/A,Gobiidae awaous,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Scaleless goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Speckled goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Square blotch goby,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goby,N/A,Tank goby,Flathead goby,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gudgeons,N/A,Aru gudgeon,N/A,"Eleotrididae, xenisthmidae oxyeleotris ",N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gudgeons,N/A,Empire gudgeon,N/A,"Eleotrididae, xenisthmidae hypseleotris ",N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/empire-gudgeon.jpg,N/A,N/A,N/A,N/A,N/A
Gudgeons,N/A,Fimbriate gudgeon,N/A,"Eleotrididae, xenisthmidae oxyeleotris ",N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gudgeons,N/A,Firetail gudgeon,Bigheaded gudgeon,"Eleotrididae, xenisthmidae hypseleotris ",N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gudgeons,N/A,Lake's carp gudgeon,N/A,"Eleotrididae, xenisthmidae hypseleotris ",N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
